time_s,f0_hz
0.0225,
0.0325,
0.0425,
0.0525,
0.0625,
0.0725,
0.0825,
0.0925,
0.1025,
0.1125,
0.1225,
0.1325,
0.1425,
0.1525,
0.1625,
0.1725,
0.1825,
0.1925,
0.2025,
0.2125,
0.2225,
0.2325,
0.2425,
0.2525,
0.2625,
0.2725,
0.2825,
0.2925,
0.3025,
0.3125,
0.3225,
0.3325,
0.3425,
0.3525,
0.3625,
0.3725,
0.3825,
0.3925,
0.4025,
0.4125,
0.4225,
0.4325,
0.4425,
0.4525,
0.4625,
0.4725,
0.4825,
0.4925,
0.5025,
0.5125,
0.5225,
0.5325,
0.5425,
0.5525,
0.5625,
0.5725,
0.5825,
0.5925,
0.6025,
0.6125,
0.6225,
0.6325,
0.6425,
0.6525,
0.6625,
0.6725,
0.6825,
0.6925,
0.7025,
0.7125,
0.7225,
0.7325,
0.7425,
0.7525,
0.7625,
0.7725,
0.7825,
0.7925,
0.8025,
0.8125,
0.8225,
0.8325,
0.8425,
0.8525,
0.8625,
0.8725,
0.8825,
0.8925,
0.9025,
0.9125,
0.9225,
0.9325,
0.9425,
0.9525,
0.9625,
0.9725,
0.9825,
0.9925,
1.0025,
1.0125,
1.0225,
1.0325,
1.0425,
1.0525,
1.0625,
1.0725,
1.0825,
1.0925,
1.1025,
1.1125,
1.1225,
1.1325,
1.1425,
1.1525,
1.1625,
1.1725,
1.1825,
1.1925,
1.2025,
1.2125,
1.2225,
1.2325,
1.2425,
1.2525,
1.2625,
1.2725,123.709
1.2825,123.310
1.2925,121.837
1.3025,121.099
1.3125,118.292
1.3225,113.078
1.3325,115.629
1.3425,114.955
1.3525,120.213
1.3625,123.117
1.3725,121.329
1.3825,120.637
1.3925,119.781
1.4025,119.349
1.4125,119.861
1.4225,119.643
1.4325,118.703
1.4425,117.110
1.4525,114.481
1.4625,104.547
1.4725,103.920
1.4825,104.430
1.4925,
1.5025,
1.5125,127.727
1.5225,123.285
1.5325,119.534
1.5425,119.356
1.5525,119.629
1.5625,119.539
1.5725,119.903
1.5825,120.153
1.5925,120.129
1.6025,120.765
1.6125,121.473
1.6225,121.380
1.6325,120.918
1.6425,120.466
1.6525,119.994
1.6625,119.307
1.6725,120.805
1.6825,122.136
1.6925,122.942
1.7025,123.143
1.7125,123.226
1.7225,122.739
1.7325,122.154
1.7425,121.964
1.7525,121.417
1.7625,122.061
1.7725,124.491
1.7825,123.177
1.7925,124.670
1.8025,127.612
1.8125,131.236
1.8225,133.451
1.8325,134.443
1.8425,133.330
1.8525,133.691
1.8625,
1.8725,
1.8825,
1.8925,
1.9025,
1.9125,
1.9225,
1.9325,
1.9425,
1.9525,
1.9625,
1.9725,
1.9825,
1.9925,
2.0025,
2.0125,
2.0225,
2.0325,
2.0425,123.510
2.0525,117.727
2.0625,111.687
2.0725,106.492
2.0825,103.139
2.0925,100.396
2.1025,97.448
2.1125,96.223
2.1225,94.226
2.1325,92.595
2.1425,92.676
2.1525,92.618
2.1625,92.908
2.1725,93.704
2.1825,93.853
2.1925,93.003
2.2025,90.279
2.2125,86.404
2.2225,83.796
2.2325,
2.2425,
2.2525,
2.2625,
2.2725,
2.2825,
2.2925,
2.3025,
2.3125,
2.3225,
2.3325,
2.3425,
2.3525,
2.3625,
2.3725,
2.3825,
2.3925,100.642
2.4025,100.460
2.4125,100.256
2.4225,99.135
2.4325,97.844
2.4425,97.352
2.4525,97.175
2.4625,98.639
2.4725,99.538
2.4825,100.572
2.4925,101.751
2.5025,102.484
2.5125,103.039
2.5225,104.589
2.5325,106.882
2.5425,108.085
2.5525,108.229
2.5625,109.977
2.5725,113.769
2.5825,116.450
2.5925,119.213
2.6025,122.884
2.6125,124.912
2.6225,126.182
2.6325,126.362
2.6425,
2.6525,
2.6625,
2.6725,
2.6825,
2.6925,
2.7025,
2.7125,
2.7225,
2.7325,
2.7425,
2.7525,
2.7625,
2.7725,
2.7825,
2.7925,
2.8025,
2.8125,
2.8225,
2.8325,
2.8425,
2.8525,
2.8625,
2.8725,
2.8825,
2.8925,
2.9025,
2.9125,
2.9225,
2.9325,
2.9425,
2.9525,
2.9625,
2.9725,
2.9825,
2.9925,
3.0025,
3.0125,
3.0225,
3.0325,
3.0425,
3.0525,
3.0625,
3.0725,
3.0825,
3.0925,
3.1025,
3.1125,
3.1225,
3.1325,
3.1425,
3.1525,
3.1625,
3.1725,
3.1825,
3.1925,
3.2025,
3.2125,
3.2225,
3.2325,
3.2425,
3.2525,
3.2625,
3.2725,
3.2825,
3.2925,
3.3025,
3.3125,
3.3225,
3.3325,
3.3425,
3.3525,
3.3625,
3.3725,
3.3825,
3.3925,
3.4025,
3.4125,
3.4225,
3.4325,
3.4425,
3.4525,
3.4625,
3.4725,
3.4825,
3.4925,
3.5025,
3.5125,
3.5225,
3.5325,
3.5425,
3.5525,
3.5625,
3.5725,
3.5825,
3.5925,
3.6025,
3.6125,
3.6225,
3.6325,
3.6425,
3.6525,
3.6625,
3.6725,
3.6825,
3.6925,
3.7025,
3.7125,
3.7225,
3.7325,
3.7425,
3.7525,
3.7625,
3.7725,
3.7825,
3.7925,
3.8025,
3.8125,
3.8225,
3.8325,
3.8425,
3.8525,
3.8625,
3.8725,
3.8825,
3.8925,
3.9025,
3.9125,
3.9225,
3.9325,
3.9425,
3.9525,
3.9625,
3.9725,
3.9825,
3.9925,
4.0025,
4.0125,
4.0225,
4.0325,
4.0425,
4.0525,
4.0625,
4.0725,
4.0825,
4.0925,
4.1025,
4.1125,
4.1225,
4.1325,
4.1425,
4.1525,
4.1625,
4.1725,
4.1825,
4.1925,
4.2025,
4.2125,
4.2225,
4.2325,
4.2425,
4.2525,
4.2625,
4.2725,
4.2825,
4.2925,
4.3025,
4.3125,
4.3225,
4.3325,
4.3425,
4.3525,
4.3625,
4.3725,
4.3825,
4.3925,
4.4025,
4.4125,
4.4225,
4.4325,
4.4425,
4.4525,
4.4625,
4.4725,
4.4825,
