phone,start,end,duration_ms,n_frames,mean_energy,mean_zcr,vowel_class,voicing,manner
ð,1.2297278911564626,1.2696371882086168,39.90929705215418,4,0.019269130016930428,0.03234960272417707,non-vowel,voiced,fricative
ə,1.2696371882086168,1.5739455782312926,304.3083900226757,31,0.5615050779277798,0.007213210794185493,vowel,voiced,vowel
b,1.5739455782312926,1.5939002267573696,19.95464852607709,2,0.18711595774188777,0.0056753688989784334,non-vowel,voiced,stop
ɪ,1.5939002267573696,1.8233786848072562,229.47845804988654,23,1.047003141033057,0.016483245323989534,vowel,voiced,vowel
ɡ,1.8233786848072562,1.908185941043084,84.80725623582774,8,0.02807841771250182,0.022985244040862655,non-vowel,voiced,stop
p,2.07281179138322,2.187551020408163,114.73922902494316,11,0.007425029935863649,0.008358270560313692,non-vowel,unvoiced,stop
ɪ,2.187551020408163,2.4469614512471654,259.4104308390022,26,0.6592028819263193,0.01270409499694403,vowel,voiced,vowel
ɡ,2.4469614512471654,2.531768707482993,84.80725623582774,9,0.060786824735705576,0.01261193088661874,non-vowel,voiced,stop
s,2.885963718820862,3.0256462585034014,139.68253968253964,14,0.02206694583282965,0.17188260094048968,non-vowel,unvoiced,fricative
æ,3.0256462585034014,3.200249433106576,174.60317460317444,18,0.9771347314128782,0.02642199520746626,vowel,voiced,vowel
t,3.200249433106576,3.290045351473923,89.79591836734713,9,0.02728033504359741,0.014251481901879177,non-vowel,unvoiced,stop
ɒ,3.3598866213151926,3.4297278911564626,69.84126984127003,7,0.3987136526144335,0.012485811577752554,vowel,voiced,vowel
n,3.4297278911564626,3.4846031746031745,54.87528344671189,6,0.8310544738685429,0.0056753688989784334,non-vowel,voiced,nasal
ə,3.4846031746031745,3.5694104308390022,84.80725623582774,8,0.6673797644092273,0.004256526674233825,vowel,voiced,vowel
θ,3.65421768707483,3.6991156462585035,44.897959183673564,4,0.05286272837705234,0.03688989784335982,non-vowel,unvoiced,fricative
ɪ,3.6991156462585035,3.7939002267573696,94.78458049886606,10,0.8177085209332086,0.018955732122587967,vowel,voiced,vowel
k,3.7939002267573696,3.913628117913832,119.72789115646253,12,0.00915773274898128,0.01532349602724177,non-vowel,unvoiced,stop
ʃ,3.913628117913832,4.1131746031746035,199.54648526077133,20,0.07019032261741952,0.15891032917139614,non-vowel,unvoiced,fricative
iː,4.1131746031746035,4.27281179138322,159.63718820861672,16,0.45772582306363363,0.008016458569807037,vowel,voiced,vowel
t,4.27281179138322,4.467369614512472,194.55782312925152,19,0.01683847953250656,0.03357428759185137,non-vowel,unvoiced,stop
