time_s,f1_hz,f2_hz,f3_hz,intensity_db
3.8778,1048.44,1156.02,3087.23,30.94
3.8840,782.38,1781.49,3306.52,32.29
3.8903,665.31,1527.09,3181.82,34.18
3.8965,202.71,1286.42,2573.46,34.99
3.9028,190.60,1244.76,2401.90,34.75
3.9090,186.40,1166.19,2510.89,34.02
3.9153,838.64,1389.71,2854.25,33.36
3.9215,631.78,1602.80,2940.73,33.00
3.9278,809.64,1784.60,3146.09,31.75
3.9340,521.55,1364.10,2665.85,30.44
3.9403,450.94,1472.18,2648.80,30.66
3.9465,376.80,1432.78,2881.15,32.23
3.9528,301.20,1284.13,2595.88,33.29
3.9590,935.29,1541.20,2734.88,33.93
3.9653,314.54,1348.74,2540.25,34.44
3.9715,338.19,1485.68,2353.18,36.56
3.9778,642.48,1769.15,3221.58,41.06
3.9840,702.72,1841.47,3236.57,45.37
3.9903,260.92,1339.29,2727.91,47.24
3.9965,210.84,1260.14,2782.05,46.96
4.0028,222.23,1143.04,2764.72,45.07
4.0090,238.81,1073.75,2760.36,42.26
4.0153,190.29,1051.16,2664.20,38.75
4.0215,769.74,1648.84,3048.22,35.45
4.0278,729.07,1622.70,3001.38,34.10
4.0340,288.84,1457.06,2607.31,34.87
4.0403,287.48,1422.89,2402.38,34.94
4.0465,315.75,1411.42,2576.04,
